Gene,p53_mock_1,p53_mock_2,p53_mock_3,p53_mock_4,p53_IR_1,p53_IR_2,p53_IR_3,p53_IR_4,null_mock_1,null_mock_2,null_IR_1,null_IR_2
  B430203G13Rik,6.2898,6.3884,5.8756,6.8611,8.8026,9.2814,7.424,7.54,6.4167,6.5707,5.6958,6.8412
  B430305J03Rik,2,2,2,2,2,4.1073,9.036,10.1039,2,2,2,2
  B4galnt4,3.4726,3.5539,3.9749,3.7166,5.1228,5.8785,4.1405,3.5411,3.8158,3.0666,2.8908,4.0184
  B4galt4,7.1708,6.9814,7.5446,7.0082,6.866,6.3152,6.5959,6.3743,6.8732,6.3716,6.3875,6.7891
  Bace1,9.7503,9.9145,9.686,10.1588,9.5831,9.5414,9.5971,9.5215,9.8623,9.9701,9.6825,9.5526
  Bace2,3.7046,3.2359,3.5627,3.6224,3.8805,3.9396,3.7598,2.3988,3.7341,4.4846,3.0969,3.944
  Bach1,10.1921,10.2671,10.3008,10.4263,9.8558,10.0225,10.0785,10.0197,10.44,10.3984,10.2023,10.0654
  Bach2,13.0525,13.2994,13.0702,13.8354,12.2652,12.2666,12.111,12.2261,13.4886,13.5613,11.1239,11.603
  Bag2,6.0296,6.0264,5.8756,5.997,6.0952,6.2805,6.446,6.2348,5.223,5.9895,8.2457,7.6209
  Bag3,5.9862,5.7639,5.6415,6.1056,6.8153,6.1712,5.8027,5.3095,5.6369,5.9895,4.9696,5.2849
  Bahd1,9.9622,10.1471,9.9453,10.5442,9.8005,9.808,9.742,9.9564,10.2445,10.1937,9.978,9.5273
  Baiap2l1,5.9108,6.6104,6.2536,6.9218,5.8822,5.9684,6.2531,5.9967,6.2503,6.4887,5.8173,5.8505
  Bak1,10.1599,9.7989,9.9875,9.7573,9.901,9.7896,9.8673,10.1483,9.8897,10.0086,11.148,10.6769
  Banf1,9.3689,8.8772,9.1037,9.4967,10.5422,10.425,10.606,10.6697,8.763,9.0927,10.6659,10.6989
  Bank1,15.1526,15.2183,15.1705,15.1275,14.2178,14.0245,14.1939,14.5936,15.3062,15.2887,14.9426,14.5964
  Barhl1,4.5857,4.2261,4.6157,4.6316,5.849,6.2805,5.8715,5.1634,4.8872,5.0397,6.2432,6.5718
  Batf3,6.382,5.7222,6.3943,5.959,5.8822,5.68,5.3021,5.5243,6.1593,6.0669,5.2542,5.8707
  Bax,10.018,9.9018,10.0326,9.9369,12.9905,12.9019,13.6464,13.7668,9.8671,9.9175,11.282,10.9385
  Baz2a,12.5749,12.8042,12.6897,13.2064,12.3388,12.4028,12.0006,12.0115,12.8374,12.8185,11.8558,12.0071
  Baz2b,13.2127,13.3586,13.2029,13.434,13.1341,13.3533,12.9895,13.1666,13.365,13.3816,12.1651,12.2539
  Bbc3,6.6184,6.5639,6.4598,6.4036,12.2692,12.246,12.4639,12.6853,5.903,5.865,5.7271,6.316
  Bbs12,7.2886,7.1324,7.0119,7.054,7.151,6.65,7.6067,7.6169,7.1264,7.1882,8.5518,8.3021
  Bbs2,8.6264,8.8387,8.7082,8.4679,8.4119,8.5418,8.4301,8.6021,8.6944,8.6524,7.7538,7.9018
  Bbs7,5.8952,6.0603,5.9909,5.6601,7.1096,7.4443,7.8816,7.8337,5.5198,5.4396,5.631,6.0409
  Bbs9,10.0709,10.2239,10.2002,10.3437,8.974,9.1674,9.1197,9.2591,10.4687,10.4143,8.8261,8.8946
  BC003965,9.2622,9.1254,9.2544,9.147,9.9071,9.9221,10.6335,10.5657,9.1997,9.2872,11.2747,10.8272
  BC004004,10.8695,10.7671,10.7819,10.6958,10.5014,10.3621,10.6629,10.7369,10.7863,10.8653,10.8789,10.9046
  BC017643,11.856,11.8703,11.8801,12.0602,11.1054,11.0171,11.3943,11.5974,11.9553,11.8488,12.73,11.0545
  BC021767,3.2942,3.1122,2,3.2958,3.8805,4.8369,4.1405,4.2692,2.2557,3.0666,2.3615,2.8589
  BC022960,4.6612,4.3949,4.6157,5.1196,4.4217,4.3934,5.0284,5.2137,5.0648,5.0776,3.5816,4.7864
  BC028528,9.7643,9.5755,9.6068,9.5247,9.0992,8.9252,9.0983,9.0635,9.6765,9.6373,9.6002,9.5113
  BC034090,5.676,5.9381,5.3959,5.8592,8.5576,8.7398,8.931,9.4419,5.7862,5.5783,5.6637,6.4696
  BC035044,10.7908,10.6044,10.8651,10.7421,13.1341,13.0153,13.3784,13.4047,10.7426,10.8428,12.6786,12.3124
  BC051142,7.7618,7.7036,7.9613,7.9713,7.4784,8.2862,7.6367,7.672,7.7838,8.1595,5.7578,6.9401
  BC053393,5.8312,6.2036,6.0129,6.5643,5.9146,5.7322,6.6161,5.7459,6.1593,6.4603,5.9561,6.0229
  BC106179,8.7974,8.8362,8.5998,9.1576,8.6081,8.7714,8.637,8.5194,9.0109,9.2503,8.2457,8.6535
  BC147527,8.3263,7.922,8.3762,8.2047,7.1235,6.9215,7.7598,7.0786,8.4347,8.9467,8.8441,8.4471
  Bcam,4.186,4.2261,5.0579,3.9673,4.9458,5.2492,5.2514,4.6074,4.8489,5.1506,3.4374,5.1592
  Bcap31,11.1202,10.9288,10.9979,10.7903,10.5094,10.3136,11.075,11.1343,11.0412,11.1118,11.8094,10.924
  Bcar1,4.186,3.8917,4.2215,3.4131,5.2804,5.3192,4.3479,3.8266,4.6846,4.3671,2.8908,4.6987
  Bcat1,6.382,5.9562,5.9909,5.9781,7.3656,7.7533,7.8392,7.339,5.7658,6.1041,8.9409,8.272
  Bccip,9.9798,9.8299,9.8705,9.8985,10.5173,10.4776,10.5388,10.5909,9.7832,9.9473,11.5936,11.2737
  Bckdha,9.612,9.4817,9.6688,9.5774,9.3687,9.0994,9.8246,9.9227,9.7641,10.0581,9.3688,9.2318
  Bcl11a,13.5389,13.8222,13.6384,14.1466,13.5299,13.4489,13.3717,13.5329,13.8517,13.8109,13.4228,13.5682
  Bcl11b,7.7049,8.0243,7.7418,7.4672,8.7852,9.2141,8.0836,8.008,8.1536,6.8034,6.7347,7.8158
  Bcl2a1b,10.1993,10.0184,10.1514,9.458,11.5705,11.4028,12.1728,12.175,9.8307,10.0804,12.2733,12.0312
  Bcl2a1d,8.8015,8.5684,8.9238,8.176,10.3614,10.3349,11.0361,11.081,8.3133,8.6207,11.25,11.0851
  Bcl2l1,8.5035,8.1594,8.0807,9.0372,9.4317,9.7039,10.3239,10.1676,8.022,9.7575,9.3762,9.5289
  Bcl2l11,10.2764,10.3413,10.2873,10.6171,12.8993,12.9796,13.3933,13.283,10.475,10.4463,11.0661,10.3968
  Bcl2l12,9.3026,9.1374,9.1737,9.2392,9.2306,9.0591,9.6072,9.7022,9.3495,9.4055,10.4515,9.9947
  Bcl2l14,5.9862,5.5421,6.1777,5.6118,5.4669,5.8785,5.3512,5.7459,5.5678,6.277,4.6802,5.8707
  Bcl2l15,5.373,5.0961,5.4289,5.2514,7.6615,7.9862,7.3774,7.1834,4.5948,4.8337,5.2966,5.0919
  Bcl2l2,8.789,8.8653,8.8585,8.8287,8.4839,8.4896,8.4129,8.6713,8.5467,8.575,8.0111,8.2682
  Bcl6,10.9695,10.9812,10.9229,11.1988,10.8305,10.7345,10.8137,10.8996,11.3753,11.4033,12.2366,11.8755
  Bcl6b,6.0578,6.0934,5.9228,6.4862,5.51,5.3192,5.7304,5.5243,5.903,6.3562,6.6554,6.3878
  Bco1,3.9044,4.6828,4.3652,4.9359,6.4453,6.8524,5.6147,4.7507,4.3966,4.6446,3.8329,5.5831
  Bco2,6.204,6.306,6.5071,6.7317,5.849,5.3859,6.0602,5.6758,6.1436,6.4017,5.8173,6.4428
  Bcor,11.8408,11.9089,11.7012,12.0658,11.3384,11.4248,11.0211,11.5387,11.901,11.9636,11.777,11.6154
  Bdh1,7.5935,7.2398,7.5521,7.4874,7.2044,7.4285,7.0904,6.8105,7.2194,7.3047,8.0237,8.0987
  Bdkrb1,3.9653,4.1651,3.1514,4.2454,5.2804,6.4461,5.5321,5.3095,3.5553,3.7688,5.6958,5.4281
  Begain,6.1127,6.1417,6.2901,6.8918,5.9463,6.5946,6,6.0252,6.3634,6.8479,5.7578,6.0229
  Bend3,8.1926,8.5114,8.1617,8.6401,9.8348,9.9987,9.7939,9.8369,8.2956,8.7229,10.892,10.7441
  Bend5,10.298,10.2098,10.1833,10.3044,9.4204,9.4429,8.8352,8.9823,10.3715,10.504,10.2624,10.2637
  Bend6,7.0495,7.5747,7.4266,7.527,6.8493,7.071,7.254,6.9508,7.3691,7.1443,7.1361,6.8206
  Best1,5.2802,4.4974,5.0996,5.8797,5.3294,4.8369,5.6147,4.8811,4.2277,5.6045,4.6147,5.0214
  Bex4,4.2849,3.1122,4.1439,2.5016,2.4171,3.9396,2,2.7108,2.2557,2.9073,2,2.6873
  Bfsp1,4.2363,4.2261,4.4959,4.3073,3.4202,4.6321,3.4354,3.5411,3.8931,4.0231,2.3615,3.2773
  Bfsp2,9.5734,9.3814,9.525,9.3071,11.0334,11.0877,11.3782,11.3912,9.4649,9.4817,8.2988,8.6477
  Bgn,5.5623,6.306,6.1181,5.8172,6.9308,7.1879,6.675,6.3062,6.4682,6.1224,4.398,6.4156
  Bhlhe41,9.6036,9.5504,9.395,9.6702,11.5749,11.4139,12.0909,12.167,9.3409,9.7705,8.2831,8.5849
  Bicra,10.6535,11.0949,10.8198,11.7099,10.9874,11.2443,10.7523,10.8042,11.0774,11.1124,10.1294,10.2647
  Bid,10.8049,10.5473,10.7206,10.4122,11.3767,11.216,11.6111,11.677,10.5433,10.5153,12.6014,12.0523
  Bin1,12.4592,12.4137,12.4325,12.4581,11.8081,11.6195,11.6142,11.8606,12.4271,12.3685,12.2209,12.0359
  Blk,13.2979,13.2547,13.2923,13.3332,11.9946,11.8024,12.1944,12.4179,13.4079,13.3841,12.4697,12.3254
  Bloc1s1,9.3717,9.2987,9.4704,9.1428,8.7541,8.4512,9.1684,9.4071,9.4915,9.4332,9.4032,9.3641
  Bloc1s2,9.4748,9.2463,9.1979,9.2193,11.7231,11.6281,12.1392,12.097,9.2242,9.4092,9.8215,9.7024
  Bloc1s2-ps,2,2,3.8824,2,4.5093,2,4.1405,6.7605,2,2,2,2
  Blvrb,11.1615,10.7728,11.2548,10.7978,10.4077,9.6808,9.9047,9.9619,10.7062,10.9269,10.2704,10.4928
  Bmf,10.1599,10.2644,10.1954,10.8145,9.0779,9.7585,9.2055,9.1306,10.9893,11.0482,10.3644,10.0232
  Bmi1,10.8322,10.7574,10.9112,10.6436,10.5226,10.4407,10.8852,10.8948,10.7406,10.8881,11.8258,11.3806
  Bmp1,5.0181,5.4429,5.0996,4.3073,8.5981,8.5491,9.3662,9.1339,5.8842,5.1145,6.3274,7.0505
  Bmp6,5.1287,4.4974,4.557,5.3131,5.0662,5.2492,4.1405,3.5411,5.1302,5.6045,4.1429,4.9848
  Bmper,2.977,2.6607,2.7931,2.6992,3.5905,5.0162,3.8981,3.374,3.2371,2.9073,2,3.6013
  Bmpr1a,5.676,5.8632,5.7503,4.1131,5.8822,6.1329,4.6903,5.3993,5.1618,4.9197,4.4739,5.1259
  Bmx,4.6612,3.6461,3.1514,3.7166,5.4225,5.0162,4.0244,3.374,4.0364,3.7688,3.2771,3.8657
  Bmyc,8.534,8.3934,8.3505,8.4543,8.3421,7.9314,7.7778,8.3939,8.1056,8.3841,8.055,8.194
  Bnip3,7.6595,7.5806,7.9838,7.8466,6.5929,6.9438,6.8214,6.9655,7.8484,8.0107,7.8707,7.3601
  Bnip3l,11.3778,11.3421,11.3229,11.7474,10.5641,10.466,11.0324,11.0476,11.4937,12.3799,10.6363,10.9722
  Bnip3l-ps,2,2,2,2,2,5.0981,2,2,2.6614,2.7283,2,2
  Boc,3.4726,2.6607,2.3153,2.6992,4.9458,4.1073,2.4232,3.8266,3.4568,2.9073,2.8908,3.5012
  Bok,4.0237,3.8143,3.9749,3.5215,3.7427,3.5314,3.7598,3.8266,4.3966,4.2391,4.546,4.6053
  Bop1,10.3367,10.2825,10.4753,10.4166,11.1706,11.2285,11.7265,11.7113,10.5061,10.5477,12.6198,12.2611
  Bora,8.5188,8.5083,8.2752,8.3985,8.4344,8.4197,8.955,8.763,8.4152,8.4251,9.6128,9.3924
  Borcs6,8.4932,8.4456,8.3973,8.4611,7.9467,7.9646,8.5452,8.746,8.7238,8.8651,8.9274,8.6061
  Bpgm,9.5988,8.6706,8.4015,10.9541,9.3361,9.0692,9.2384,9.5065,8.7079,12.1396,8.6532,10.8382
  Bphl,7.5984,7.5511,7.5063,7.3978,6.7449,6.5946,7.0759,6.9802,7.6,7.8002,6.7951,6.5718
  Brca1,9.4173,8.9759,8.9639,8.8497,8.9546,8.7588,8.9148,9.1916,8.8958,9.0575,9.8609,9.1861
  Brdt,5.0745,5.3363,5.2918,5.8172,5.3294,5.7826,5.8027,5.8128,5.7241,5.9895,4.1429,4.3415
  Bri3,7.8288,7.802,7.8679,8.3029,8.1097,7.296,7.4802,7.339,7.8288,7.996,7.6995,7.5785
  Bri3bp,10.7754,10.7089,10.7306,10.8337,10.6736,10.6453,10.8579,10.89,10.7633,10.8868,12.41,11.9448
  Brsk1,4.5857,5.3905,4.925,5.3429,5.1228,5.3192,5.574,3.8266,5.0979,4.7887,4.546,4.8691
  Brwd1,14.2573,14.488,14.3596,14.6669,13.7191,13.9618,14.0591,13.9902,14.6686,14.6898,14.4921,14.0484
  Bscl2,10.1311,10.1163,9.9875,10.1578,11.6412,11.7183,12.3708,12.4842,10.1784,10.1969,10.4573,10.2309
  Btbd1,11.1667,11.0789,11.0652,11.0028,10.7653,10.6538,10.8354,10.8537,11.1252,11.1215,12.0708,11.4624
  Btbd18,6.3595,6.5757,6.4274,6.7979,6.3298,5.9684,6.0602,6.0531,6.6351,6.9536,6.5541,6.4156
  Btbd3,5.2802,5.7639,6.1777,5.5871,4.744,5.2492,4.9025,4.9422,6.2794,5.4102,4.546,5.5077
  Btd,8.6521,8.5684,8.7183,8.3105,7.824,7.7783,7.7598,8.2138,8.5733,8.5245,8.345,8.194
  Btf3,12.6913,12.3879,12.6278,12.2029,13.0973,12.9087,13.6059,13.6013,12.5173,12.6038,14.1888,13.7694
  Btf3l4,10.3624,10.1725,10.3097,10.1859,10.5147,10.4505,11.1889,11.1506,10.261,10.4544,11.6932,11.4603
  Btg2,12.5858,12.5217,12.5591,12.7553,13.1546,13.1523,13.8371,13.9023,12.5578,12.8034,11.8398,11.4702
  Btg3,7.1314,6.8128,6.5225,6.7317,7.6326,8.1488,8.8047,7.7076,6.8148,6.584,9.0565,8.1575
  Btk,11.7873,11.9504,11.9405,12.2893,11.2427,11.1858,11.5953,11.6892,12.1453,12.2018,11.6666,11.3968
  Btnl1,5.5223,5.1909,5.5239,6.1736,4.5918,5.0981,4.3479,4.4481,6.1277,6.1582,5.2966,5.1592
  Btnl2,8.0628,7.7768,8.091,8.2915,7.4343,7.5056,6.9383,7.4164,8.2338,8.3183,7.0519,7.2641
  Btnl4,5.9108,6.0934,6.9787,5.9199,5.849,5.5694,5.5321,5.7459,5.5912,4.7422,3.0969,4.7864
  Btnl5-ps,5.9862,5.8632,6.4274,5.6836,5.815,5.8314,5.4445,5.1112,4.4488,4.5932,3.2771,4.8691
  Btnl6,7.7049,7.1948,8.1957,7.2946,7.593,7.2065,7.3293,6.5994,6.2356,6.2273,4.803,6.3012
  Bub1,7.9201,7.2545,7.7219,6.6741,6.7268,6.4461,6.6941,6.8268,6.9016,6.9434,8.1036,7.2487
  Bysl,9.3982,9.2646,9.4403,9.5247,10.289,10.5078,10.31,10.4949,9.37,9.508,11.6707,11.3227
  Bzw1,12.4793,12.3004,12.509,12.4106,12.8351,12.7235,13.4091,13.4142,12.5131,12.5786,14.2634,13.742
  Bzw2,10.3897,10.0567,10.4301,9.9744,11.3279,11.3474,11.7862,11.7003,10.0333,10.0062,12.8011,12.4867
  C030005K15Rik,5.1018,5.5893,5.1401,5.0122,4.2289,5.3192,4.5293,4.3614,5.4702,5.7288,5.2966,5.5077
  C130074G19Rik,4.8983,6.0264,6.2161,5.752,7.1235,7.9862,6.5335,6.3519,5.5678,6.0288,4.6147,6.1105
  C1d,9.2002,9.2222,9.525,9.2193,9.0707,9.0176,9.776,9.5851,9.5613,9.6294,10.4585,9.8148
  C1galt1,12.0091,11.9856,12.0322,12.1658,11.296,11.2274,11.8306,11.7222,12.2367,12.3978,12.4516,11.7843
  C1qa,12.3649,12.2588,12.6667,12.1025,12.3033,11.5502,11.8637,11.5753,11.8198,11.9127,11.2385,11.8935
  C1qb,12.4611,12.3539,12.9036,12.0655,12.4436,11.7223,12.0455,11.7497,11.8583,12.0234,11.2378,11.9322
  C1qbp,9.4336,9.2808,9.2193,9.6449,10.8878,10.9566,10.9798,10.97,9.1194,9.0456,11.132,11.0666
  C1qc,12.3122,12.2132,12.6935,12.0108,12.2096,11.3733,11.8605,11.5062,11.7901,11.7717,11.0798,11.6765
  C1ql3,2.8535,2.2553,2.7931,3.2958,3.8805,5.2492,2.4232,3.374,3.7341,3.46,2.8908,3.0123
  C1qtnf5,3.196,2,3.4382,2.873,4.3285,3.9396,2.75,4.2692,3.7341,2.2856,2.8908,4.4529
  C1qtnf9,3.0907,3.5539,2.7931,2.2725,4.5093,5.7826,4.3479,3.8266,3.5553,2.5238,4.9696,3.7828
  C1ra,7.209,7.1164,7.1473,6.9894,6.6709,6.4145,6.9221,6.6368,7.044,7.2476,6.639,6.7128
  C1rb,2,2,2,2,3.0041,4.1073,4.2479,4.8174,2,2,2,2
  C1s1,3.6313,4.5931,4.432,3.2958,5.6706,5.7322,4.5293,4.9422,4.9964,3.6731,4.3179,5.9297
  C1s2,2.5696,2,2,2.2725,3.0041,4.6321,2,2,2.2557,2,2,2
  C2,8.7178,8.5266,8.7837,8.9452,8.5525,8.3793,8.9708,8.4684,8.4887,8.555,8.2073,8.9714
  C2cd2l,8.8366,8.8041,8.8153,9.0257,8.1511,8.1679,7.4691,7.9348,8.8235,8.9771,8.1331,7.8314
  C2cd5,11.1817,11.3108,11.2221,11.6522,10.6795,10.8834,10.6372,10.7583,11.4036,11.3598,10.5523,10.7123
  C3,10.2236,9.8794,9.9736,10.0966,10.6069,10.0093,10.2205,9.7066,9.6293,9.8778,9.2416,10.8636
  C4b,8.5979,8.4647,8.5328,6.8611,9.0306,8.8023,8.5346,8.0571,7.5826,6.9938,7.1244,7.9357
  C5ar1,6.0296,5.1909,5.0149,4.042,5.9463,6.65,6.3038,5.0007,3.8158,5.2535,4.1429,5.2234
  C6,10.2831,10.6101,10.6301,9.9048,10.419,9.1044,9.5971,9.0427,10.2518,9.7055,9.1919,9.432
  Cables1,5.256,5.0292,5.1401,4.9359,6.7805,7.886,6.675,6.3962,4.9609,4.9608,6.464,5.2545
  Cables2,11.2756,11.3029,11.1137,11.454,10.8569,10.8718,11.4836,11.687,11.4792,11.5137,12.0306,11.523
  Cacna1b,5.4602,5.5659,5.0996,6.1056,7.2934,7.9536,8.1475,7.9121,5.7241,5.865,5.8462,6.0229
  Cacna1d,8.4776,8.7789,8.7869,9.3184,7.7807,8.2598,7.6167,7.6447,9.1805,9.435,7.0886,7.6736
  Cacna1e,13.0994,13.4608,13.1947,13.1479,11.9395,12.2924,11.3767,11.7497,12.9751,13.029,11.129,11.1913
  Cacna1g,3.196,3.4555,2.5739,3.2958,4.5918,5.3859,2.75,3.5411,2.8283,2,2.3615,3.0123
  Cacna1h,8.8243,8.9263,8.6142,9.1128,8.7406,9.0994,7.3892,7.7678,8.4217,8.8705,7.3526,7.2332
  Cacna1i,11.9444,12.3485,12.0609,12.6606,9.3919,9.439,9.3721,9.9265,12.4543,12.4058,9.6765,9.5225
  Cacna1s,7.4886,7.025,7.2892,5.5619,7.5421,7.7278,6.5754,7.2453,5.94,6.0093,6.6057,5.9103
  Cacna2d1,5.7813,5.9381,5.8268,6.3893,7.2175,8.2146,4.6903,5.9967,5.9216,5.6803,5.1654,5.0919
  Cacnb2,5.4602,5.3905,5.1796,5.8592,6.8987,7.7907,6.9542,6.3962,5.2526,5.5516,6.6554,7.1027
  Cacnb4,7.7618,7.4071,7.451,7.5073,7.023,6.5946,6.75,7.0512,7.4287,7.39,6.5366,6.7239
  Cacng3,3.4726,3.3499,2.7931,3.5215,5.7081,6.2805,4.1405,4.2692,3.8931,3.6731,3.8329,4.2208
  Cacng4,5.8475,5.7222,6.0129,6.5643,8.2497,9.124,6.713,6.9055,6.3359,6.1041,6.3678,6.9964
  Cacybp,10.6413,10.3197,10.6635,10.3298,11.025,10.8469,11.1728,11.0971,10.4033,10.4013,13.4017,12.1547
  Cad,10.6889,10.8094,10.5608,11.1505,14.2552,14.2584,14.7296,14.7526,10.6907,10.6944,13.0703,12.717
  Cadm1,10.2414,10.1362,10.933,10.4927,9.9449,9.7137,9.9532,9.524,10.0215,10.0769,9.1139,9.759
  Calb1,6.229,6.4535,5.8994,6.5643,8.5265,9.4072,7.0314,6.9655,6.8732,6.0669,6.5715,6.4696
  Calcoco1,10.1697,10.153,10.0933,10.4324,10.3166,10.2855,10.4698,10.505,10.2537,10.5418,8.9002,9.4011
  Calhm2,11.1663,11.2447,11.1124,11.3163,11.2443,11.0573,11.6948,11.8962,11.2449,11.228,10.1455,9.9982
  Calm1,13.8465,13.6572,13.8716,13.6021,13.4709,13.136,13.9148,13.9399,13.7658,13.8702,14.624,14.0609
  Calm3,12.1594,11.8484,12.0251,11.6369,11.8693,11.5852,11.8451,12.1986,11.7477,11.918,12.9186,12.3947
  Calr3,5.2064,5.0961,5.3273,4.8553,5.1228,6.1712,5.3512,5.8128,5.0648,5.3182,6.8244,6.3306
  Camk1d,11.2467,11.3715,11.4074,11.6436,10.4867,10.3908,10.2483,10.1547,11.371,11.512,10.0292,10.2013
  Camk1g,3.2942,3.7327,4.2215,4.2454,6.0667,6.8044,5.4445,4.5299,3.9666,4.5399,5.6958,5.2234
  Camk2d,13.0193,13.1167,13.1465,13.2633,12.733,12.6272,12.7572,12.934,13.1778,13.163,12.3161,12.3325
  Camk2n2,4.2363,4.2846,3.7835,4.2454,5.7802,6.245,5.489,5.3993,4.5478,4.5399,7.0143,6.5841
  Camkk1,6.7013,6.5874,6.5677,6.5258,5.815,5.8785,5.8375,5.9077,6.4298,6.3716,5.7578,5.8301
  Camkk2,10.7986,11.0397,10.9658,11.4463,10.67,10.6161,10.88,10.9469,11.2481,11.4126,11.132,11.0238
  Camkmt,7.4989,7.598,7.3851,7.5205,6.7084,6.8988,6.8387,6.8745,7.4798,7.1353,6.0081,6.4156
  Camp,7.984,6.7205,5.9459,4.1808,5.0072,6.1329,6.446,6.0252,4.103,4.6446,4.546,5.8301
  Camta2,10.4159,10.6503,10.3318,10.9934,10.3166,10.2767,10.2189,10.3391,10.6376,10.4812,10.2409,10.0883
  Cand1,11.5665,11.5855,11.5885,11.6656,11.6593,11.8453,12.1578,12.1682,11.6185,11.6563,13.1221,12.7371
  Canx,13.4312,13.2508,13.3636,13.1434,14.6572,14.529,15.1144,15.1741,13.0648,13.1736,15.2538,14.5505
  Cap1,13.6299,13.3949,13.546,13.4387,13.059,12.7997,13.0782,13.3239,13.4472,13.5246,13.5839,13.3117
  Capg,12.2371,12.176,12.2241,11.9435,12.3995,12.1454,13.0287,13.394,12.2372,12.2637,10.6445,10.533
  Capn1,10.9611,10.9729,10.8399,11.05,10.3196,10.1576,10.0115,10.3475,10.8483,10.8788,9.882,9.6375
  Capn11,2,2,7.567,2,5.9463,4.8369,3.7598,6.0252,3.6474,6.1932,2.8908,3.1509
  Capn2,9.8904,9.9076,9.8199,9.8564,9.5054,9.4112,9.2738,9.399,9.782,9.7205,8.5386,9.0577
  Capns1,11.3218,11.1292,11.3486,11.0133,10.7687,10.6178,10.9572,11.1171,11.1157,11.2137,11.0994,10.807
  Capns2,5.3273,5.4429,5.7762,5.3131,5.1228,4.7381,3.7598,4.8811,5.2817,5.6803,4.398,4.4529
  Capsl,3.7743,3.5539,2.9833,3.7166,3.5905,3.9396,4.6903,4.2692,3.8158,4.3045,5.5631,4.8283
  Capza1,13.0317,12.9426,13.0865,12.8775,12.622,12.4783,13.1444,13.1346,13.1195,13.1697,13.9906,13.3276
  Car1,8.7613,7.3259,8.2053,6.6623,3.2271,5.0981,5.1442,4.3614,4.4991,6.5166,4.7429,5.3147
  Car12,3.9653,3.8917,3.8824,3.8051,5.849,6.4461,6.3528,5.8128,3.3511,2.5238,5.4918,5.8907
  Car2,10.5849,9.6594,9.6688,9.676,10.5081,10.423,11.0584,11.4554,7.804,10.6056,7.4213,9.2608
  Car7,5.4602,5.4429,5.5239,5.0847,4.8144,5.0162,5.3512,5.3993,5.4702,5.7288,4.4739,5.2234
  Card10,4.8344,5.2212,5.0149,4.9359,6.4229,6.1329,5.1988,4.4481,5.2526,4.4846,3.9438,5.6313
  Card11,12.4602,12.5677,12.4361,13.04,11.974,12.0725,11.6642,11.9501,12.5146,12.4606,11.4137,11.7158
  Card14,4.5059,4.9946,3.7835,5.0847,3.8805,4.2574,3.4354,3.6909,4.8095,4.8773,3.2771,4.0184
  Card19,7.9007,7.6711,8.0004,7.9326,6.9308,6.477,6.4904,6.5803,7.7737,8.087,6.7347,7.4366
  Card6,11.9044,12.047,11.8541,12.0678,11.5832,11.8542,11.2945,11.4626,11.9109,12.0649,11.3765,11.1495
  Carhsp1,9.7909,9.623,9.6566,9.8538,11.9226,11.6822,12.9033,12.9338,9.742,9.9587,9.8051,9.6507
  Carnmt1,9.349,9.25,9.333,9.1887,9.237,8.634,9.6172,9.241,9.1939,9.2668,11.1276,10.2864
  Carns1,9.416,9.5987,9.4744,10.2022,9.2241,9.2503,9.1718,9.4125,9.8659,9.9988,8.7745,9.1181
  Cars,10.0394,9.9978,9.8929,9.9768,10.9836,11.1224,11.4111,11.3636,9.9622,9.9726,11.9605,11.6541
  Casp12,4.4644,4.1015,4.8291,3.1682,3.8805,4.3934,3.4354,2.7108,4.3425,3.6731,3.2771,3.3936
  Casp16-ps,2.977,2.8274,2.9833,3.2958,4.0062,3.7499,4.2479,4.2692,2.8283,3.0666,5.0708,4.1564
  Casp2,11.3312,11.29,11.2765,11.4132,10.901,10.8631,11.4425,11.4376,11.4479,11.6335,11.9352,11.4756
  Casp6,9.0272,8.8313,8.8886,8.8754,8.5576,8.4972,8.632,8.7417,8.763,8.8294,8.1678,7.9921
  Casp7,9.0431,8.8362,9.0355,8.9157,10.3302,10.1456,10.8914,11.0328,8.7936,8.9442,8.5518,8.4803
  Casp8,11.61,11.6699,11.5692,11.5615,11.212,11.1823,11.1931,11.3297,11.6404,11.6021,11.3528,11.2231
  Casp9,10.1857,10.1263,10.1112,10.4289,8.862,8.7076,8.6856,8.9305,10.2052,10.2288,9.3663,9.1244
  Casq1,3.2942,3.6461,2.9833,3.8051,5.3294,6.053,4.5293,4.2692,2.9778,3.5705,4.6802,5.0571
  Cast,11.4327,11.5109,11.5533,11.5089,11.772,11.8841,12.0727,12.1817,11.563,11.4906,10.0787,10.2967
  Cat,11.8792,11.8282,11.9046,11.9155,11.1857,10.7771,10.6798,10.8813,11.7142,12.2005,10.7815,10.9289
  Cav1,4.6976,4.7257,5.6695,4.4237,5.0662,4.5177,3.7598,3.1849,5.0648,5.9695,3.2771,5.8093
  Cav2,4.3774,4.5461,5.2918,5.1196,4.1218,3.5314,4.8352,4.2692,5.3655,5.4396,3.2771,4.8691
  Cavin1,4.4644,4.5931,4.557,4.4237,5.4225,5.2492,4.5293,3.6909,4.9609,5.0776,3.0969,5.1259
  Cavin2,6.5604,6.5874,7.1865,6.3749,6.6709,6.7547,6.7317,5.4838,6.7642,7.2476,4.803,7.153
  Cavin3,4.3774,4.1015,4.6721,3.6224,4.4217,4.7381,3.8981,3.5411,4.6404,5.4684,4.0468,4.9848
